[0.98-2.26] 哈喽 大家好
[2.26-3.82] 怎么样 像不像小熊
[3.82-7.32] 把罗纳德的这个小熊帽子
[2669.19-2671.83] 答应我们到这个数没到怎么办呢
[2671.83-2673.15] 我们要告他
[2673.15-2674.59] 又形成新的诉讼
[2674.59-2680.83] 但是你想能推动帝国艰星舰进行一经落万物生的拾荒者
[2680.83-2682.59] 哪个金融机构敢推动
[2682.59-2683.91] 我去查一下啊
[2683.91-2684.73] 所以这个事呢
[2684.73-2687.75] 也就不了了之了
[2687.75-2690.49] 这就是中国的金融游戏
[2690.49-2692.89] 当中国的资本市场破局之后
[2692.89-2694.55] 当中国的实业产业
[2694.55-2696.03] 坠毁之后
[2696.03-2699.55] 在这种废墟中生长出新的
[2699.55-2705.35] 勃勃生机的新的富豪的方式和方法
[2705.35-2706.73] 未来的中国十年
[2706.73-2708.61] 未来的是五到十年
[2708.61-2711.11] 中国的金融行业所有的投行
[2711.11-2712.55] 所有的会计师
[2712.55-2713.21] 律师
[2713.21-2720.15] 你们都应该把你们的重点从重组与IPO与私募PE和VC挪出来
[2720.15-2724.39] 放在破产清算机破产清盘机破产
[2724.55-2726.11] 重整上
[2726.11-2728.69] 你们才能真正赚到大钱
[2730.43-2730.85] 好了
[2730.85-2731.93] 今天就讲这么多吧
[2731.93-2732.43] 太干了
[2732.43-2733.31] 该出火花了
[2733.31-2734.75] 大家没事多多看点
[2734.75-2736.45] 有问题直接问我好吧
[2736.45-2742.43] 想发财的想跟着我这个招财猫体制赚钱呢
[2742.43-2745.55] 想想改行的可以问我啊
[2745.55-2746.75] 到时候我给你指方向
[2746.75-2748.01] 我给你们指明方向
[2748.01-2749.95] 你们就往哪个人生方向走啊
[2749.95-2751.81] 这个不一定是恒大啊
[2751.81-2754.43] 因为全中国各个地都有要破产的企业啊
[2754.55-2756.77] 全都不会
[2756.77-2757.87] 你要是会这个
[2757.87-2761.87] 那你不你不就是相当于二十年以前的我吗
[2761.87-2765.13] 二十年以前的我是帮企业快乐上市
[2765.13-2768.61] 你你你现在就是帮企业快乐破产吗
[2768.61-2769.87] 快乐破产啊
[2769.87-2772.37] 我们现在是进入快乐破产时代
[2772.37-2773.75] 当时我年轻的二十五岁
[2773.75-2774.63] 我想出来这招
[2774.63-2776.35] 因为当时上市特别难
[2776.35-2777.23] 一关一关的过
[2777.23-2777.93] 我从天下也出来
[2777.93-2778.87] 我觉得这事没那么难
[2778.87-2782.45] 然后我就起了一个口号叫快乐上市
[2783.83-2784.19] 呃
[2784.19-2784.45] 后来
[2784.45-2785.65] 摘香鸟到处讲课
[2785.65-2786.97] 还讲这个理念
[2786.97-2788.59] 以后就是快乐破产啊
[2788.59-2791.65] 我们今天就来个快乐破产员纪元好吧
[2791.65-2791.83] 呃
[2791.83-2792.75] 今天不讲了啊
[2792.75-2797.13] 那个然后这周不是开始紧张的学习工作了吗
[2797.13-2799.09] 在我退学之前啊
[2799.09-2800.95] 我很可能坚持不下来退学
[2800.95-2801.91] 因为我岁数太大了
[2801.91-2803.05] 作业太多了
[2803.05-2804.49] 那我要是退学之前呢
[2804.49-2806.11] 我可能呃
[2806.11-2807.43] 做不到日更了
[2807.43-2807.73] 嗯
[2807.73-2809.65] 我争取一周三更
[2809.65-2811.95] 但是这其实也不是坏事啊
[2811.95-2812.23] 好
[2812.23-2813.01] 再见啊
[2813.01-2813.61] 再见啊
[2813.61-2814.09] 老
[2814.09-2815.65] 老王不是生产队的驴
[2815.65-2818.89] 咱们悠着点玩啊
[2818.89-2819.21] 拜拜
[2819.21-2819.59] 拜拜
