[1.14-2.46] Hello 大家好
[2.46-4.42] 今天是星期天
[2111.74-2113.42] 我给大家原文念一念
[2113.46-2115.54] 这100%的正在进行时
[2115.58-2117.26] 此时此刻缅北就是这样
[2117.30-2118.38] 老街国感就是这样
[2118.38-2122.34] 你们不是想知道战时经济是啥样吗
[2122.34-2123.02] 就是这样
[2127.82-2129.62] 缅北已经彻底大乱了
[2129.66-2132.58] 国感水电网已经全部断了
[2132.62-2134.62] 从国感里边出去外面
[2134.66-2136.66] 中国人的路费已经涨到一个人
[2136.66-2138.06] 人民币35万
[2138.10-2138.90] 一个人
[2139.26-2140.58] 本地人出去一个人
[2140.58-2142.30] 也要人民币5000左右
[2142.46-2144.26] 要想进去中国避难
[2144.30-2147.94] 要给劳缅当兵的交一个人2000块人民币
[2148.18-2150.02] 多数人不愿意进中国
[2150.02-2152.42] 愿意去瓦邦的亲戚家或者朋友家
[2152.42-2154.86] 进中国只是在难民营里边
[2156.18-2159.06] 50斤一袋的大米1000多一袋
[2159.98-2162.50] 蔬菜没有低于100人民币一斤的
[2162.86-2164.42] 物价涨得满天飞
[2164.42-2165.90] 老百姓拼命要跑
[2165.90-2168.70] 是因为怕劳缅的战斗机无差别轰炸
[2169.02-2171.78] 这在以往的战争中出现过很多次
[2171.82-2174.58] 劳缅的飞机炸死中国的边民也出现过
[2174.62-2177.90] 缅北伴随着毒品电炸等灰色产业
[2177.94-2179.70] 老百姓也希望和平
[2179.74-2182.02] 从二战打到现在就没停过
[2182.42-2184.26] 整个缅北的中国人都在跑
[2184.30-2187.58] 去柬埔寨的去泰国的去迪拜的都在逃亡
[2187.74-2189.94] 又是中国警察又是战争
[2190.42-2192.58] 以前的秩序现在已经没有了
[2192.90-2193.66] 前线
[2193.90-2194.58] 这就不说了
[2194.82-2196.18] 这后边涉及到他的
[2196.78-2197.70] 个人隐私了
[2197.70-2198.50] 听明白了吧
[2198.50-2199.14] 听清楚了吗
[2199.14-2199.90] 这些细节
[2201.22-2203.38] 中国人出去路费为什么收35万
[2203.38-2204.46] 因为中国人有钱
[2204.46-2206.02] 当地人为什么收5000
[2206.06-2206.66] 收2000
[2206.66-2208.26] 也是因为当地人没钱
[2208.54-2210.18] 为什么要出去要交钱
[2210.62-2212.38] 因为所有的道路全部封锁
[2212.38-2214.58] 一旦各个军阀
[2214.58-2217.54] 各个军各支军队把路道路封锁了
[2217.54-2220.30] 一旦见到穿越道路的人
[2220.30-2221.18] 击毙
[2221.18-2223.22] 所以你要从那个道上走
[2223.22-2224.42] 你要贿赂军头
[2224.42-2226.70] 这个钱就是买路钱
[2226.70-2229.26] 你能想象走一个公路
[2229.26-2233.30] 不长一段180里地这么一段公路
[2233.30-2233.98] 你要走一下
[2233.98-2236.38] 要交35万人民币的买路钱
[2236.38-2238.14] 而且你进了难民营
[2238.14-2240.74] 一袋大米50斤大米1000人民币
[2240.74-2242.34] 一斤蔬菜
[2242.38-2243.14] 100人民币
[2243.14-2244.70] 那个地方气候好得了
[2244.70-2245.70] 好的不得了
[2245.94-2247.22] 蔬菜比加州的还多
[2248.50-2249.70] 这就是战事经济
[2250.26-2251.54] 你没有钱怎么办
[2251.78-2253.42] 没有钱待在原地死路一条
[2253.42-2254.42] 你看看加沙
[2254.42-2256.02] 那个以色列炸过的环境
[2256.14-2256.74] 我告诉你
[2256.98-2258.94] 果敢街区现在是一模一样的
[2259.10-2260.94] 老免的飞机过去以后
[2260.94-2261.86] 炸成平地
[2261.86-2262.74] 一味平地
[2263.02-2264.98] 说共产党防空兵在哪
[2265.10-2266.06] 共产党才不管你
[2266.26-2268.34] 防空兵防的是人家军队
[2268.34-2270.50] 你果敢老百姓死得越多
[2270.50-2272.30] 这边的宣传力度不就越大吗
[2272.38-2274.22] 一看炸死我边民
[2275.38-2276.30] 这个道理
[2276.50-2278.30] 战事经济就是人不如狗
[2278.30-2280.66] 人命叫太平
[2280.66-2282.66] 乱世人不如太平犬
[2283.38-2284.62] 说到缅北
[2284.74-2286.38] 大家不要采取看热闹心态
[2286.38-2287.50] 都是我们的同胞
[2287.50-2289.22] 都是中国人讲中文的
[2289.42-2291.54] 就是我们的亲戚是一样的人
[2292.14-2292.98] 生在那个地方
[2292.98-2294.06] 赶到那个时间
[2294.18-2296.74] 现在正在接受这样的煎熬
[2296.90-2298.26] 如果我们不觉悟
[2298.26-2299.66] 一旦跟台湾开战
[2299.66-2300.78] 上海以南
[2300.82-2301.82] 没有什么区别
[2301.82-2303.62] 你以为台湾是吃素的吗
[2303.62-2305.22] 钉钢浪给你打过来
[2305.22-2306.94] 如果老习扛不住
[2306.98-2308.14] 他一退兵
[2310.22-2311.62] 不可想象
[2311.62-2312.74] 所以最好不要打仗
[2312.94-2316.18] 虽然我老说他2024年打台湾
[2316.18-2318.38] 但是我最不希望他打台湾
[2318.42-2319.46] 台湾那么好
[2319.46-2321.10] 人民又那么慈善
[2321.38-2323.42] 物价又那么的便宜
[2323.46-2325.42] 吃的又那么合我们的胃口
[2325.54-2327.42] 我还想退休了去台湾呢
[2328.30-2332.02] 所以保留一个我们中华文化圈的
[2332.06-2333.26] 不是共产党
[2333.54-2335.06] 政治制度的这么一块飞地
[2335.10-2336.46] 一个不同的体系
[2336.50-2337.38] 对于我们
[2337.86-2339.26] 对于我们所有的中国人
[2339.30-2340.30] 都是一个资源
[2340.30-2342.10] 所以我们要珍视台湾
[2342.30-2343.38] 珍惜台湾
[2343.50-2344.70] 为台湾祈福
[2344.74-2346.94] 为台海两岸的人民祈福
[2346.94-2349.62] 不要经受冰火战乱之灾
[2360.04-2360.72] 祈福
[2361.48-2362.44] 再见大家
[2363.04-2364.96] 明天星期一
[2365.00-2367.28] 我有可能做网友答问
[2367.32-2368.36] 我尽量做
[2368.48-2372.16] 然后后天我就要去洛杉矶了
[2372.20-2373.52] 期待在洛杉矶
[2373.56-2375.04] 跟网友们偶遇
[2375.08-2375.88] 再见
