[0.00-0.68] 大家好
[2170.87-2171.59] 您太红了
[2171.59-2172.55] 我不想有麻烦
[2172.75-2173.95] 你又有偶像包袱了
[2175.11-2178.75] 你说的你有一个深圳的企业
[2178.75-2182.19] 然后你害怕大洪水和崩盘时间
[2182.35-2183.71] 200斤太折腾了
[2184.23-2186.07] 你也不敢在国内再瞎投资了
[2186.11-2189.59] 问是不是崩盘的时间点突然到来
[2189.59-2191.39] 然后发出银子怎么出去
[2191.43-2192.99] 想下周去迪拜看看
[2192.99-2195.07] 毕竟这里开公司税费是最低的
[2195.11-2195.75] 我不知道
[2195.75-2196.51] 如果肉身出去
[2196.51-2197.59] 又想继续做这个行
[2197.59-2198.71] 怎么在国外开展工作
[2198.71-2199.83] 在哪开展工作
[2200.15-2201.23] 你这种情况
[2201.91-2204.67] 如果你要是只是想把钱弄出去了
[2204.67-2205.59] 很简单
[2205.87-2207.75] 你如果觉得香港不够安全的话
[2207.75-2208.71] 你就再走远点
[2208.71-2209.19] 台湾
[2209.95-2210.39] 日本
[2211.67-2212.15] 新加坡
[2212.35-2214.07] 如果你觉得还不够安全的话
[2214.07-2215.43] 就再走远点到美国
[2215.43-2215.91] 加拿大
[2215.91-2216.59] 澳洲
[2216.75-2218.11] 你随便找一个银行
[2218.11-2219.47] 只要有当地的朋友
[2219.51-2220.31] 带着你的护照
[2220.31-2221.35] 就都能开户
[2221.35-2222.39] 因为你是中国人
[2222.39-2223.11] 不是当地居民
[2223.11-2224.03] 都能开户
[2224.19-2224.71] 你找我
[2224.79-2226.19] 我随便给你推荐两个银行行长
[2226.19-2227.19] 就给你开户了
[2227.55-2228.67] 然后你就有了这边的
[2228.71-2229.63] 银行账号
[2229.67-2231.51] 然后你就可以找这边的地下钱庄
[2231.51-2234.19] 他就会给你一个中国的银行账号
[2234.23-2236.35] 你把你的钱打到他中国银行账号
[2236.39-2238.71] 他当时就会在这边支付给你
[2238.83-2240.71] 相对应的美元或者家园
[2240.71-2241.43] 就这么简单
[2241.43-2242.59] 这就叫洗钱
[2242.59-2243.91] 这就叫地下钱庄
[2244.03-2246.19] 如果你一次换50万美元以内
[2246.19-2247.15] 基本上没有风险
[2247.15-2248.79] 因为他们都干了十几二十年了
[2248.99-2250.31] 这种渠道一直在有
[2250.31-2252.07] 他们的汇率会比官方汇率高
[2252.07-2252.91] 那么一点点
[2252.95-2254.51] 大概高1.5%
[2254.51-2256.19] 完全是可以能容忍的
[2256.19-2257.43] 如果你数额比较大
[2257.47-2258.59] 还可以跟他们讨价
[2258.59-2258.67] 还
[2258.71-2260.15] 基本上就这么个情况
[2260.15-2261.35] 他们吃这口饭的
[2261.59-2264.11] 他们都有相应的自己的渠道
[2265.15-2266.63] 如果你把公司挪出来
[2266.63-2267.67] 我没有办法给你建议
[2267.67-2269.47] 因为我不知道你公司具体做什么的
[2269.59-2270.31] 去迪拜
[2270.31-2271.31] 你只要记住一点
[2271.31-2272.59] 你去国外去迪拜
[2272.59-2275.19] 你别找翟山英弄他那电子盘投资
[2275.23-2276.15] 应该就没事
[2276.15-2279.43] 即使翟山英介绍给你买房子
[2279.43-2280.35] 你也可以去看看
[2280.35-2281.99] 因为房子这东西讲不了
[2282.03-2283.91] 翟山英最多也就是提成一点
[2283.91-2285.83] 人家房地产经纪给他的回扣
[2285.87-2287.19] 这个也属于可以容忍的
[2287.19-2291.62] 问五方拉手账
[2291.62-2292.58] 说网上找不到
[2292.58-2293.10] 废话
[2293.10-2294.78] 这玩意在网上能找到
[2294.78-2295.78] 那还叫老王吗
[2295.78-2297.54] 我还能坐在这给你玩玩讲吗
[2297.54-2298.30] 你肯定找不到
[2298.30-2299.18] 我也不会交给你了
[2299.18-2299.78] 五方拉手账
[2299.78-2300.82] 这东西交给你
[2300.82-2302.74] 那不就世界大乱
[2302.86-2304.38] 等咱们有缘分
[2304.38-2305.66] 你能亲眼见到我
[2305.66-2306.98] 并且能够跟我处很久
[2306.98-2308.22] 我再交给你吧
[2309.30-2310.54] 王主席您好
[2310.86-2313.38] 现在国内互联网管控越来越严
[2313.38-2315.54] 我不敢用真名跟您联系
[2315.70-2316.46] 请您见谅
[2316.46-2317.10] 可以理解
[2317.10-2318.54] 这有什么见谅的
[2318.54-2319.02] 呀
[2319.02-2322.62] 我是今年初知道的翟副主席
[2322.62-2323.34] 最近知道的
[2323.34-2324.54] 您也是蹭过来的
[2324.54-2326.38] 他问一个建筑工程项目
[2326.38-2327.26] 是河南的
[2328.30-2329.98] 这个项目忽然让我有种感觉
[2329.98-2332.06] 诸如此类的资本运作的项目
[2332.06-2333.50] 成与不成是否落地
[2333.50-2334.74] 与操盘者的水平高级
[2334.74-2335.82] 没有任何关系
[2335.82-2337.70] 只与权力是否在手有关系
[2337.70-2339.38] 良心是否泯灭有关系
[2339.58-2342.30] 给我一种我上我也行的感觉
[2342.82-2345.62] 说他劝他叔叔退了这个项目
[2345.62-2347.22] 因为这个项目是当地一个
[2347.38-2348.90] 产业开发员忽悠房地产
[2348.90-2350.42] 忽悠制药产业的
[2350.42-2352.26] 这么一个产业园的项目
[2352.26-2353.18] 然后他叔叔说
[2353.18-2355.14] 他是建筑方第三方
[2355.14-2356.70] 想进去掺和一把
[2356.70-2358.22] 结果他本能去使
[2358.22-2358.94] 让他叔叔退了
[2358.94-2360.10] 他叔叔现在不理他了
[2360.26-2361.74] 觉得少赚了几千万
[2362.42-2363.86] 现在有点迷惑
[2363.86-2366.10] 还要让我来解释一下
[2366.10-2367.74] 哥们你这个小哥们
[2368.14-2370.14] 你的本能非常正确
[2370.14-2371.58] 你本能退出这个项目就对了
[2371.58-2372.74] 那个项目的情况我看了
[2372.74-2374.02] 那个就是个傻逼项目
[2374.02-2375.66] 最后一定是一地鸡毛
[2375.70-2378.26] 这种项目跟大气货很有关系
[2378.26-2379.26] 现在这种大气货
[2379.26-2380.26] 在那弄几千亩地
[2380.26-2381.82] 搞产业园开发房地产
[2381.82-2383.18] 就那么个小批城市
[2383.18-2384.62] 最后会一地鸡毛
[2384.62-2385.46] 血本无归
[2385.46-2386.54] 谁进去谁完蛋
[2386.54-2387.38] 你跟你叔叔讲
[2387.38-2389.22] 他命里边没那几千万的命
[2389.38-2390.90] 他这是逃过了一劫
[2390.90-2391.54] 否则的话
[2391.54-2393.82] 你和他你们叔侄俩
[2394.14-2395.78] 前期的积累投进去
[2395.78-2397.50] 后边还要拉一屁股债
[2398.42-2400.38] 操盘跟操盘手的水平
[2400.38-2401.06] 直接相关
[2401.50-2403.42] 更跟气候有关系
[2403.82-2405.06] 春夏秋冬有关系
[2405.06-2406.10] 现在整个在冬天
[2406.10-2408.26] 你在冬天下种子种地
[2408.26-2410.66] 你还想结什么秋天的果实吗
[2410.66-2412.26] 所以你这事你不用什么
[2412.90-2414.46] 我看你还挺不平衡
[2414.46-2415.66] 你还觉得你上你也行
[2415.66-2416.58] 你上你行个屁也
[2416.58-2417.14] 你上
[2417.18-2418.38] 你上你就完了
[2418.38-2419.98] 你根本没有机会上油管了
[2419.98-2421.50] 你就在监狱里边坐着
[2421.82-2422.86] 你看你们商丘
[2422.86-2424.14] 现在是不是看守所里边
[2424.14-2425.30] 住着好多企业家
[2425.30-2427.06] 都是你这样没想明白的
[2428.06-2428.82] 说话不好听
[2428.82-2429.34] 别挑里
[2430.38-2431.34] 两眼逆耳
[2431.46-2432.74] 老王您太厉害了
[2432.74-2434.14] 翟老师可能真要干坏事了
[2434.14-2436.34] 这个图是翟老师油管会员
[2436.34-2437.22] 粉丝群里
[2437.22-2437.98] 翟老师的助理
[2437.98-2438.22] 刚发现
[2438.22-2438.94] 发出来的
[2438.98-2439.90] 我不了解这个
[2439.90-2441.58] 但是隐约感觉到有问题
[2442.74-2443.94] 您是用什么通信工具
[2443.94-2445.34] Facebook WhatsApp
[2445.34-2446.58] Discord电报
[2446.62-2447.62] 什么时候拉个老王
[2447.62-2449.06] 第三炮兵集团军
[2449.06-2450.94] 给铁杆网友们交流交流
[2451.30-2452.38] 这个我还没计划
[2452.38-2453.22] 我不想
[2453.38-2454.18] 因为这些东西
[2454.18-2455.94] 打扰我太多现在的生活
[2456.46-2457.86] 所以我目前没有任何
[2457.86-2459.42] 所谓的电报什么群
[2459.82-2460.82] 你们愿意自己组织
[2460.82-2461.66] 自己组织吧
[2462.34-2463.58] 翟山英这幅图
[2463.82-2464.86] 给我发过来的
[2471.71-2473.31] 翟山英又在提拜
[2473.31-2474.31] 要继续玩
[2474.31-2476.27] 他BSC云盒
[2476.31-2477.91] 还有什么C大海
[2477.91-2479.91] 那SEA什么别扔了
[2479.91-2482.35] 什么海湾国家主权基金的投资
[2482.35-2483.19] 已经到位
[2485.63-2486.87] 又他妈吹
[2487.23-2488.43] 今天嗓子受不了了
[2488.59-2489.39] 我不是翟老师
[2489.39-2490.47] 翟老师可以喷一天
[2490.47-2491.47] 我喷不了一天
[2491.51-2493.63] 我一直没有学会用复补发声
[2494.55-2496.55] 所以这都说热了
[2496.59-2497.59] 不跟大家聊了
[2498.15-2499.51] 祝大家开开心心
[2499.51-2500.55] 过好每一天
[2500.59-2502.11] 大洪水不会马上来
[2502.11-2502.75] 别着急
[2502.75-2504.15] 现在去安排
[2504.31-2506.71] 处理找船都来得及
[2507.23-2508.79] 有机会我再念其他的
[2508.79-2509.83] 今天没念完
[2510.03-2510.79] 再见
