[0.00-2.88] 哈喽开始直播
[2383.76-2386.76] 这个等于是物理性的这种绝望
[2386.76-2389.52] 那你这个属于哈尔滨大个子
[2389.52-2391.48] 你比如说我知道你长得人高马大
[2391.48-2393.24] 白白净净的哈尔滨男孩吗
[2393.24-2394.28] 那你底下呢
[2394.28-2397.20] 就是至少比那个哥们大一倍吧
[2397.20-2400.48] 就是四厘米粗呃16厘米长
[2400.48-2401.36] 那这样的话呢
[2401.36-2403.16] 这个女生呢
[2403.16-2407.72] 一般的不会在尺寸上感觉不到啊
[2407.72-2409.36] 就不会问牙签吧
[2409.36-2410.64] 无牙签不会
[2410.64-2411.44] 所以这个事呢
[2411.44-2414.00] 这就首先这问题就解决了一多半
[2414.00-2415.16] 剩下就是心病了
[2415.16-2416.80] 心病还要心要治
[2416.80-2418.08] 你找出根来
[2418.08-2418.76] 你找错了
[2418.76-2420.00] 跟你手淫没关系
[2420.00-2421.88] 你王叔小时候也手淫
[2421.88-2423.08] 所有的小男孩
[2423.08-2424.08] 小时候都手淫
[2424.08-2426.52] 我到目前为止没有见一个小男孩
[2426.52-2427.48] 就是一个成年人
[2427.48-2429.04] 就是最后我们长大了以后
[2429.04-2430.76] 聊聊天说我从不手淫
[2430.76-2432.08] 我没见着过啊
[2432.08-2433.48] 我没见人说我从不手淫
[2433.48-2434.72] 我热爱社会主义
[2434.72-2436.00] 我高大理想啊
[2436.00-2438.52] 我第一次人生第一次射出来就是跟我老婆
[2438.52-2440.64] 我早一派胡言啊
[2440.64-2441.52] 呃所以呢
[2441.52-2444.68] 这个手淫不是病啊
[2444.68-2445.80] 就是怎么着
[2445.80-2447.36] 我刚才你说手淫的什么情况啊
[2447.36-2449.00] 就是怎么就把你们都吓了
[2449.00-2450.16] 就是你们基本上长不大
[2450.16-2451.08] 你们也怪手淫
[2451.08-2451.84] 然后你们早泄
[2451.84-2452.52] 你们也怪手淫
[2452.52-2453.08] 为什么呢
[2453.08-2458.28] 这是跟我国传统性教育的一个巨大的漏洞有关系
[2458.28-2460.88] 就是我国传统性教育啊
[2460.88-2461.84] 直到今天啊
[2461.84-2464.92] 青春期性教育都是有这样一个巨大的漏洞
[2464.92-2468.12] 他为了怕小男孩手淫上瘾
[2468.12-2469.96] 他就吓唬小男孩
[2469.96-2473.00] 就是手淫会让你积极长不大
[2473.00-2475.60] 会让你什么精神衰弱
[2475.60-2478.00] 会让你难以集中注意力啊
[2478.00-2479.16] 会让你早泄
[2479.16-2479.92] 阳痿
[2479.92-2481.64] 总之就是他妈会让你得癌症
[2481.64-2483.04] 然后100年之后
[2483.04-2484.12] 你必死无疑
[2484.12-2486.08] 这个就是吓唬小孩
[2486.08-2487.44] 跟你妈小时候
[2487.44-2489.24] 你奶奶看你的时候
[2489.24-2491.92] 你奶奶说你可别说别哭了
[2491.92-2492.76] 别捣乱了
[2492.76-2495.20] 再捣乱就来大马猴抓你了
[2495.20-2496.36] 就老妖怪了
[2496.36-2497.40] 把你抓走
[2497.40-2498.88] 你信吗
[2498.88-2500.04] 他为什么这么说呢
[2500.04-2502.08] 他是怕你给他添麻烦吗
[2502.08-2503.12] 他哄你多累啊
[2503.12-2504.56] 他说把你吓住了
[2504.56-2505.96] 所以呢
[2505.96-2508.60] 男生看那个什么什么
[2508.60-2510.84] 鸡巴中国那个生理卫生课本
[2510.84-2511.92] 关于手淫的那一节
[2511.92-2513.00] 你可别信这个
[2513.04-2518.12] 实际上就是你的经液积攒的太多
[2518.12-2519.56] 你就是不手淫
[2519.56-2520.92] 你也会梦疑
[2520.92-2523.92] 你做梦也会把它放出来
[2523.92-2526.64] 那这都是男生的正常现象啊
[2526.64-2528.64] 所以你如果不愿意让他梦疑
[2528.64-2530.44] 你不用手把它给放出来
[2530.44-2532.00] 这都是正常的啊
[2532.00-2532.56] 很正常
[2532.56-2534.08] 而且对身体很好
[2534.08-2538.20] 因为他的那个经液长期存在你的这个
[2538.20-2539.28] 许经堂里边
[2539.28-2541.00] 楚经堂里边出不来
[2541.00-2543.00] 他也会嗯
[2543.04-2544.40] 沉淀变质的啊
[2544.40-2545.84] 所以对人体反而不好
[2545.84-2547.60] 所谓通则不通吧
[2547.60-2551.00] 所以手淫对晕小男孩还说啊
[2551.00-2552.52] 是个正常现象
[2552.52-2554.08] 甚至小女孩也是正常现象
[2554.08-2556.80] 所以你没有必要把这个东西最恶化
[2556.80-2558.72] 把这个东西并化啊
[2558.72-2559.32] 这个他妈的
[2559.32-2560.36] 这个是所以心病
[2560.36-2561.36] 这第一啊
[2561.36-2561.88] 第二呢
[2561.88-2565.40] 就是你这个第一次嫖娼这个事啊
[2565.40-2566.28] 避孕套破了
[2566.28-2569.44] 你这个描述证明你啥问题都没有
[2569.44-2570.40] 你喝了点酒之后
[2570.40-2571.56] 战战斗力很强
[2571.56-2572.72] 而且把套总破
[2572.72-2575.72] 就是无论是力度还是硬度还是时间啊
[2575.72-2577.20] 都是完美啊
[2577.20-2578.56] 没任何问题
[2578.56-2580.76] 就是因为你怕捅破了病套
[2580.76-2582.92] 你怕得艾滋病就把自己吓住了
[2582.92-2584.96] 所以你所有的事都是把自己吓住了啊
[2584.96-2587.24] 你要解决这个问题
[2587.24-2589.40] 你走的方法是正常的
[2589.40-2591.60] 就是你图神游
[2591.60-2592.04] 为什么
[2592.04-2593.36] 因为年轻人啊
[2593.36-2594.44] 血气方刚啊
[2594.44-2595.76] 有交合欲望的时候
[2595.76-2599.84] 就像我那天读马来西亚的那个大学生的信一样
[2599.84-2602.00] 就是他就老早泄
[2602.00-2602.32] 女孩
[2602.32-2604.16] 给他口交的时候
[2604.16-2605.80] 他就已经射了
[2605.80-2606.32] 为什么呢
[2606.32-2607.32] 他比你还惨
[2607.32-2609.08] 你我没看你口交的时候
[2609.08-2610.36] 你至少是进去之后
[2610.36-2611.96] 你扬尾早泄
[2611.96-2614.44] 那哥们是属于在嘴里就扬尾早泄了
[2614.44-2617.48] 然后就后来的根本就进不去洞了
[2617.48-2618.48] 为什么呢
[2618.48-2621.44] 就是因为你血气方刚啊
[2621.44-2623.48] 你你跟我这岁数
[2623.48-2624.44] 你像我这岁数
[2624.44-2625.08] 我想早泄
[2625.08-2626.32] 我也早泄不了了
[2626.32-2626.64] 为什么
[2626.64-2628.52] 我血气不再方刚了
[2628.52-2629.52] 当年轻的时候
[2629.52-2630.36] 那血气方刚啊
[2630.36-2632.08] 那就是滋滋往外流鼻血啊
[2632.32-2636.32] 就是就是我记得我小我小时候二二十多岁
[2636.32-2637.16] 三十来岁的时候
[2637.16-2640.00] 我我有一次校场啊
[2640.00-2642.04] 就是在那个那时候我刚做生意
[2642.04-2646.84] 我在亚洲大酒店那个从那个中国城叫上来一个花魁
[2646.84-2647.32] 我干的
[2648.92-2651.44] 我们俩我操正要共赴乌山的时候
[2651.44-2655.52] 我操我就不是正是已经共赴乌山的正在那个冲刺的时候
[2655.52-2657.40] 我那笔写字一下
[2657.40-2659.36] 就像颜色他了一样
[2659.36-2662.32] 给他从脸上到胸上雪白的苏胸
[2662.32-2664.88] 和那个双峰和脸全是
[2664.88-2668.20] 鼻血我的鼻血滋滋出来了
[2668.20-2669.76] 然后把他吓坏了
[2669.76-2672.56] 我我知道是怎么回事
[2672.56-2674.36] 我说我死不了
[2674.36-2678.00] 然后我我迅速从床头拿那个
[2678.00-2680.24] 拿纸巾盒
[2680.24-2683.32] 腿腿了个那个塞子给塞住
[2683.32-2687.12] 然后坚持把动作做完
[2687.12-2689.76] 然后这个一边做两个人还一边笑场
[2689.76-2691.72] 就是什么太年轻了啊
[2691.72-2693.72] 这个叫血气方刚啊
[2693.72-2695.56] 所以那个时候就怎么去过来
[2695.56-2696.88] 怎么去借借这个阶段
[2696.88-2697.48] 这个问题呢
[2697.48-2699.20] 就是你要要使用药物
[2700.52-2703.48] 你在任何一个药店啊
[2703.48-2705.40] 你去查网上药店都可以
[2705.40-2706.96] 你害你难为情你害臊
[2706.96-2708.68] 你就是在网上药店
[2708.68-2710.72] 你查岩石喷剂啊
[2710.72-2711.68] 你用岩石喷剂
[2711.68-2714.24] 其实有效成分就是利多卡因
[2714.24-2714.76] 但是呢
[2714.76-2715.72] 岩石喷剂呢
[2716.68-2717.44] 也没多少钱啊
[2717.44-2719.12] 几块钱十几块钱
[2719.12-2720.52] 你买上一小瓶
[2720.52-2721.48] 你跟女生
[2721.72-2723.48] 有钱你先喷上啊
[2723.48-2724.36] 喷上记住啊
[2724.36-2725.88] 喷上就要戴套啊
[2725.88-2728.88] 喷上之后千万别让女孩给你口交啊
[2728.88-2730.76] 那口交之之后再喷
[2730.76-2732.16] 当女孩喷不丢人的这样
[2732.16-2738.48] 或者说这个就是喷上以后就就直接戴套开始也行
[2738.48-2739.80] 为什么呢
[2739.80-2742.00] 就是因为你喷上以后
[2742.00-2743.68] 他给你他给你口交的时候
[2743.68-2746.16] 这个小姑娘的这个嘴啊
[2746.16-2749.64] 一会就出现那种拔牙的效果了
[2749.64-2751.60] 就是他的舌头
[2751.72-2755.16] 就是这因为他都是麻药嘛
[2755.16-2755.92] 利多卡因
[2755.92-2760.28] 大家知道拔牙之前医生给你牙上抹的就是利多卡因
[2760.28-2760.80] 所以呢
[2760.80-2763.20] 这个一喷上以后一样戴套
[2763.20-2764.40] 而且记住王叔的话
[2764.40-2766.20] 喷完之后不要马上干啊
[2766.20-2768.04] 喷完之后啊
[2768.04-2770.24] 男女先温存一会儿三分钟
[2770.24-2771.12] 五分钟哎
[2771.12-2773.44] 你等那个药劲出来再干
[2773.44-2776.96] 呃利多卡因呃药劲出来就三到五分钟啊
[2776.96-2778.68] 三到五分钟以后就OK了
[2778.68-2780.40] 你就可以正式上岗了
[2780.40-2781.68] 是让你二弟上岗啊
[2781.72-2782.84] 上岗之后呢
[2782.84-2785.00] 你就会这个信心啊
[2785.00-2786.88] 是这样慢慢建立起来的啊
[2786.88-2788.76] 信心就是所谓心病
[2788.76-2790.84] 就是这样慢慢建立啊
[2790.84-2792.36] 呃口了就晕了
[2792.36-2793.28] 晕不至于啊
[2793.28-2794.32] 那个他没那么大的
[2794.32-2795.12] 他不是马飞
[2795.12-2796.00] 他不会晕的
[2797.00-2798.32] 他就是嘴麻啊
[2798.32-2800.40] 嘴麻那是舌头嘛
[2800.40-2806.16] 所以一个是保持一个呃性爱的频率啊
[2806.16-2808.96] 你要说三十天干一次
[2808.96-2809.92] 五十天干一次
[2809.92-2811.28] 那你用什么药都不好使
[2811.72-2812.80] 时间太长了
[2812.80-2814.40] 像你这种年龄二十二岁的话
[2814.40-2816.76] 你一个星期至少要干三次
[2816.76-2818.96] 最好是四到五次啊
[2818.96-2820.68] 这个叫规律的性生活
[2820.68-2822.48] 这样的话慢慢的就治好了
[2822.48-2823.72] 自然而然就治好了
[2823.72-2830.24] 因为你的那个汹涌澎湃的那个男性荷尔蒙和呃躁动不安的那个血气啊
[2830.24-2833.36] 他就你一个星期放个五次的话
[2833.36-2835.08] 他自然而然就下来了啊
[2835.08-2835.96] 明白吗
[2835.96-2838.68] 所以呃在喷以严实喷剂啊
[2838.68-2840.12] 你的病就就好了啊
[2840.12-2841.68] 记住了王王哥告诉你
[2841.72-2842.36] 这两招啊
[2842.36-2843.96] 严实喷剂啊
[2843.96-2845.24] 然后三分钟以后
[2845.24-2846.08] 五分钟以后啊
[2846.08-2847.16] 然后带上套啊
[2847.16-2848.80] 然后再二地上岗
[2848.80-2851.60] 再有一个就是加大性爱频率啊
[2851.60-2853.28] 找一个固定女朋友嘛
[2853.28-2855.84] 找一个结婚对象或者固定女朋友
[2855.84-2856.00] 哎
[2856.00-2857.64] 一个星期干个五六五六次
[2858.92-2859.24] 哎
[2859.24-2860.60] 下一个啊
[2860.60-2861.68] 呃老王你好
[2861.68-2863.64] 我属狗的比您年长几岁
[2863.64-2867.92] 知道你是我无意中看了黄河边的推文
[2867.92-2871.72] 老黄那天刚好转发了你评价老郭的短视频啊
[2871.72-2873.04] 他还转发我呢
[2873.04-2875.00] 我他真他是是没了郭文贵
[2875.00-2876.36] 不能活四代啊
[2876.36-2876.84] 我操
[2876.84-2880.80] 就是黄河边就是黄河边的人生似乎就是为郭文贵存在的
[2880.80-2881.12] 我操
[2881.12-2884.60] 其实我不知道他我不知道他转发我的
[2884.60-2885.96] 但我也不看那东西
[2885.96-2887.20] 他说的非常中啊
[2887.20-2889.72] 你我感觉你说的非常中肯啊
[2889.72-2891.28] 我非常认同啊
[2891.28-2895.96] 那个写这封信是想说说我个人的一些真实经历
[2895.96-2897.20] 我父亲也是军人
[2897.20-2899.08] 从小就被他打耳光
[2899.08-2899.56] 小时候
[2899.56-2901.28] 我有一次不小心把一个水杯碰到地
[2901.28-2901.72] 也摔碎了
[2901.72-2904.32] 我爸顺手就给我一个耳光啊
[2904.32-2906.76] 那天我老爷站在旁边正好
[2906.76-2909.88] 于是我老爷老人家顺手也给我爸一个耳光
[2909.88-2910.28] 我操
[2910.28-2913.00] 你们家这个他还是个孩子呀
[2913.00-2914.32] 他还是个孩子
[2914.32-2915.00] 是吧
[2915.00-2917.00] 那天发生的事
[2917.00-2918.80] 我现在给你讲还历历在目
[2918.80-2919.12] 我操
[2919.12-2920.16] 这个确实挺经典
[2920.16-2921.00] 你爸给你耳光
[2921.00-2923.20] 然后你老爷就你妈的爸爸
[2923.20-2924.88] 还不是他亲爹啊
[2924.88-2926.60] 给他耳光
[2926.60-2928.08] 我从小性格懦弱
[2928.08-2928.84] 胆小怕事
[2928.84-2931.16] 有一次在学校公厕东坑
[2931.16-2931.60] 带着我
[2931.60-2933.64] 我爸给我的部队的黄泥子军帽
[2933.64-2936.24] 被一个小流氓笑着抢走了
[2936.24-2937.72] 后来妈妈送我上学
[2937.72-2939.12] 我看到那个人带着我的军帽
[2939.12-2940.20] 我也不敢告我妈
[2940.20-2942.80] 那就是小时候比较胆小怕事
[2942.80-2944.00] 比较怂
[2944.00-2947.72] 我小学三年级就开始手淫
[2947.72-2949.12] 这又来一手淫
[2949.12-2951.16] 今天排队来手淫的
[2951.16-2953.68] 那时候年纪小
[2953.68-2955.12] 三年级
[2955.12-2955.84] 三年级
[2955.84-2956.80] 那是挺小的
[2956.80-2958.60] 我才懂事领导的
[2958.60-2960.48] 没有经验射出
[2960.48-2961.52] 只是喜欢趴在
[2961.52-2963.28] 床上压小机机玩
[2963.28-2964.92] 差不多到了初中的某一天
[2964.92-2967.00] 突然射出了白色的经验
[2967.00-2968.28] 还吓得我要命
[2968.28-2970.16] 这都属于正常
[2970.16-2974.00] 从小父母都没给我讲过什么性教育
[2974.00-2975.20] 就靠我们自学
[2975.20-2976.32] 你们上学
[2976.32-2977.68] 我们上学都有生理卫生
[2977.68-2979.12] 你们上学没有吗
[2979.12-2982.04] 到了1989年
[2982.04-2984.28] 每天上下学就看人们游行
[2984.28-2986.76] 街上电影杆上各种小字报
[2986.76-2988.24] 记得那时有一个关岛
[2988.24-2989.24] 泰斯党名单
[2989.24-2990.40] 第一个就是邓朴方
[2990.40-2990.96] 邓志芳
[2990.96-2992.68] 那两年也奇怪
[2992.68-2995.08] 在家旁边的报刊亭
[2995.08-2996.96] 就可以买到各种黄书
[2996.96-2998.04] 我记得特清楚
[2998.04-2998.80] 对
[2998.80-3002.84] 80年代确实是报刊亭那种黄色杂志
[3002.84-3003.20] 哎呀
[3003.20-3004.32] 就是到处都是
[3004.32-3007.00] 后来央视还公开禁书
[3007.00-3008.88] 为了方便手淫
[3008.88-3010.16] 我就攒钱买黄书
[3010.16-3012.20] 然后看到刺激的章节
[3012.20-3013.60] 就偷偷趴在床上手淫
[3013.60-3015.88] 手淫给我带来的恶果就是
[3015.88-3016.60] 胆子小
[3016.60-3017.08] 敏感
[3017.08-3018.40] 怕抓什么
[3018.40-3020.80] 如果有人站在我旁边
[3020.80-3022.40] 我就撒不出来尿
[3022.40-3023.84] 那时最怕坐火车
[3023.84-3025.12] 因为火车上人多
[3025.12-3027.12] 知道外边有人等着上厕所
[3027.12-3028.40] 我就更加撒不出尿
[3028.40-3029.32] 狼狈不堪
[3029.32-3029.68] 哎呀
[3029.68-3030.60] 造下病来了
[3030.60-3031.20] 为什么呢
[3031.20-3034.24] 就是小的时候看手淫
[3034.24-3037.60] 有害的那些那些坏医生
[3037.60-3039.84] 坏阿姨交给你
[3039.84-3041.00] 把你给他们骗住了
[3041.00-3042.88] 我手淫
[3042.88-3044.36] 括弧淫邪的恶习
[3044.36-3046.16] 你看他把手淫当成淫邪
[3046.16-3048.52] 手淫是全世界男生正常的反应
[3048.52-3049.60] 啊
[3049.60-3050.56] 那阿拉伯
[3050.80-3053.56] 穆斯林阿拉伯小男孩还干
[3053.56-3054.96] 还干牧羊呢
[3054.96-3056.76] 那还不如手淫呢
[3056.76-3057.36] 啊
[3057.36-3058.72] 手淫至少是自己的手
[3058.72-3061.92] 那么牧羊生后更脏啊
[3061.92-3063.64] 我手淫括弧淫邪的恶习
[3063.64-3065.44] 可以说一直持续到了现在
[3065.44-3066.76] 哈哈
[3066.76-3070.44] 我先说说我的两个淫邪恶果
[3070.44-3072.16] 一是我没有后代
[3072.16-3073.48] 二是我太太性冷淡
[3073.48-3074.68] 我们没有性生活
[3074.68-3076.80] 还跟刚才那位完全一样
[3076.80-3077.96] 尼矿老爷子说过
[3077.96-3079.16] 什么东西都有配额
[3079.16-3080.68] 我的性生活的配额
[3080.68-3081.72] 可能早就用完了
[3081.72-3083.44] 或者被我早早挥霍了
[3083.44-3084.24] 借你的频道
[3084.24-3085.92] 在此忠告年轻的教友们
[3085.92-3086.88] 不要手淫
[3086.88-3088.04] 不要淫邪啊
[3088.04-3088.64] 在此啊
[3088.64-3089.92] 我要跟大家讲
[3089.92-3091.60] 这哥们是一派胡言啊
[3091.60-3092.52] 他是个傻逼
[3092.52-3096.12] 他是个蠢驴
[3096.12-3098.36] 就是他自己啊
[3098.36-3099.32] 这个人生呢
[3099.32-3100.16] 这种失败啊
[3100.16-3101.28] 就是早泄啊
[3101.28-3104.08] 他老婆没性没性激情啊
[3104.08-3109.08] 这些东西自己瞎鸡巴找原因
[3109.08-3110.60] 其实他心里的原因
[3110.68-3112.40] 他还不是那哥们小
[3112.40-3113.32] 他听这样子
[3113.32-3116.76] 他也不他大小还还没有自卑啊
[3116.76-3119.36] 就是他把自己这个归类归罪
[3119.36-3121.44] 为自己从小手淫
[3121.44-3122.44] 我再跟你们说一次
[3122.44-3124.80] 所有的男孩都从小手淫
[3124.80-3126.76] 按你这个鸡巴说说法
[3126.76-3129.68] 我们所有的男生的他妈性生活配额
[3129.68-3130.92] 都他妈的
[3130.92-3131.40] 呃
[3131.40-3132.84] 挥霍完了
[3132.84-3135.08] 尼矿老爷子说什么东西都有配额
[3135.08-3138.12] 尼矿老爷子说的是福报
[3138.12-3139.44] 不是说的经验
[3140.68-3145.92] 你这个傻逼精子和经验是你造出来的
[3145.92-3148.56] 这个东西叫用尽废退
[3148.56-3148.84] 哎
[3148.84-3149.96] 你这才是真理
[3149.96-3151.36] 你天天用
[3151.36-3155.40] 他就长得越那个生经细胞就长得越发的发达
[3155.40-3157.28] 你的经验就越发的充盈
[3157.28-3160.00] 你天天不用最后就枯萎了
[3160.00-3161.00] 这就跟花一样
[3161.00-3161.96] 女人也一样的
[3161.96-3164.24] 女人天天干女人的那个性器官
[3164.24-3165.12] 他就充盈
[3165.12-3166.08] 他充血
[3166.08-3167.92] 然后健康通畅
[3167.92-3169.64] 然后脸红扑扑的
[3169.64-3170.64] 说话娇媚的
[3170.68-3173.68] 雌性荷尔蒙满身都是都能发发出来
[3173.68-3174.40] 雌性荷尔蒙
[3174.40-3178.00] 一看这个女女生就是他妈的风调雨顺的样子
[3178.00-3180.84] 粉色的脸粉红粉红的
[3180.84-3184.20] 你再看那个不行的不行的就是满脸黄鹤斑
[3184.20-3186.68] 皮肤发干啊
[3186.68-3187.84] 晚上睡不着觉
[3187.84-3190.36] 然后早上早上起来萎靡不振啊
[3190.36-3194.44] 那个呃子宫肌瘤卵巢囊肿
[3194.44-3197.60] 再加上他妈的这个输卵管堵塞
[3197.60-3199.00] 呃
[3199.00-3200.12] 再加阴道炎
[3200.68-3201.68] 呃
[3201.68-3204.44] 这就是女人不用造成的
[3204.44-3206.40] 不是说这个女人天天用这个女人
[3206.40-3207.92] 这个女人天天高潮
[3207.92-3210.00] 这个女人就他妈的被人采阴补阳
[3210.00-3211.04] 那么一派胡言
[3211.04-3212.64] 那那正好相反
[3212.64-3213.28] 知道吧
[3213.28-3215.16] 不用他就卡住了
[3215.16-3216.12] 他堵住了
[3216.12-3218.04] 中国老话讲流水不拂
[3218.04-3218.80] 互输不渡
[3218.80-3221.88] 你那根火箭也是一样的道理
[3221.88-3223.72] 你要该用你就得用起来
[3223.72-3225.44] 你他们越留着我操
[3225.44-3226.60] 你归荷延年的
[3226.60-3230.64] 你你归荷延年的结果就是你拿你那玩意就是他们蔫了
[3230.64-3231.32] 就
[3231.32-3235.08] 然后你你越省越蔫越蔫越省
[3235.08-3237.64] 最后自己给自己找了个理由
[3237.64-3239.12] 是我小时候手淫造成的
[3239.12-3240.12] 我好淫邪
[3240.12-3241.24] 你是不是还基督徒
[3241.24-3243.16] 你是不是还还是基督徒
[3243.16-3245.32] 你用这个词是基督
[3245.32-3248.76] 中华田园基督徒常用词
[3248.76-3251.08] 淫邪这个词
[3251.08-3252.24] 呃
[3252.24-3257.16] 性和邪恶之间没有等号
[3257.16-3259.20] 那性欲是人的天然欲望
[3259.20-3260.40] 而人类没有性欲
[3260.40-3262.40] 动物没有性欲就绝种了
[3262.40-3264.60] 怎么跟邪恶有什么关系呢
[3264.60-3267.36] 这这他妈的淫和邪一一派胡言
[3267.36-3269.44] 淫就是他妈一种乐啊
[3269.44-3271.16] 淫乐才对啊
[3271.16-3274.72] 淫邪是他们的一个中华田园鸡最喜欢用的词语
[3274.72-3275.80] 就是什么基督教
[3275.80-3276.96] 他是禁欲的
[3276.96-3278.80] 尤其是天主教基督基督徒
[3278.80-3280.88] 他是非常禁欲的
[3280.88-3281.48] 就什么意思
[3281.48-3283.36] 就是教皇可以干
[3283.36-3284.36] 你不可以干啊
[3284.36-3286.44] 教皇在公开场合不说
[3286.44-3288.96] 然后关上门来什么坏事都干啊
[3288.96-3289.16] 就是
[3289.16-3293.12] 小处女的音音道就是妈魔鬼啊
[3293.12-3294.44] 就是自己的屌就是魔鬼
[3294.44-3295.96] 小处女的音道就是地狱
[3295.96-3297.36] 他必须把魔鬼打回地狱
[3297.36-3299.20] 就是这全是这种笑话
[3299.20-3301.28] 就是他妈的这全是这种笑话
[3301.28-3301.72] 明白吧
[3301.72-3306.88] 就是因为你的人类的正常的欲望一定要发发发射出去
[3306.88-3309.20] 一定要把欲望解放好
[3309.20-3311.72] 解放好的欲望人才是balance的
[3311.72-3313.24] 才是平和的
[3313.24-3315.00] 如果你压抑你的欲望
[3315.00-3316.72] 以他妈的什么歪理邪说
[3316.72-3318.08] 什么鸡巴邪教啊
[3318.08-3318.92] 什么鸡巴的
[3318.92-3320.00] 中华田园基督教啊
[3320.00-3321.24] 这个压抑自己的欲望
[3321.24-3323.92] 结果就变成你变成一个神经病
[3323.92-3326.36] 而且你是个蠢驴加变态这种神经病
[3326.36-3326.72] 明白
[3326.72-3329.12] 因为你幸亏你给我写信了
[3329.12-3330.52] 我今天能救你
[3330.52-3331.16] 我救你一命
[3331.16-3334.00] 你赶紧的你赶紧开始你的淫邪之旅啊
[3334.00-3335.08] 你跟你老婆还是那句话
[3335.08-3336.60] 你别跟你老婆淫邪了
[3336.60-3337.16] 为什么呢
[3337.16-3338.92] 你们俩之间成见日深
[3338.92-3342.48] 而且我甚至怀疑你老婆在外边已经有了一个
[3342.48-3344.08] 嗯
[3344.08-3347.36] 或者一打绿帽子了啊
[3347.36-3347.56] 就是你老婆已经给你带了很多绿帽子了啊
[3347.56-3349.32] 你老婆已经给你带了很多绿帽子了
[3349.32-3350.48] 所以呢
[3350.48-3353.24] 就是在你没有练成你的绝世武功之前
[3353.24-3355.20] 你千万不要去报仇啊
[3355.20-3357.40] 因为你会被一箭封喉啊
[3357.40-3362.32] 因为给你老婆带绿帽的那些估计他们的但凡有一个是我这种功夫的
[3362.32-3363.44] 那你就完蛋了
[3363.44-3363.92] 所以呢
[3363.92-3364.32] 你呢
[3364.32-3366.36] 就是先自己去苦练功夫啊
[3366.36-3366.96] 苦练功夫
[3366.96-3368.80] 你很很简单吗
[3368.80-3369.52] 要不找个情人
[3369.52-3371.60] 要么就是花钱嘛
[3371.60-3372.88] 花钱只要技术好
[3372.88-3374.32] 带好编套啊
[3374.32-3376.64] 然后艾丽小姐姐祝我发财
[3376.64-3377.48] 希望我愉快
[3377.48-3377.56] 讲
[3377.56-3378.00] 好
[3378.00-3379.72] 艾丽小姐姐祝你发大财
[3379.72-3380.92] 祝你性生活愉快啊
[3380.92-3382.44] 祝你每天都有个性高潮
[3382.44-3385.96] 脸都是你这个头像颜色粉红色的啊
[3385.96-3391.52] 这个就是你你要知道这些东西非常重要
[3391.52-3393.96] 所以你你要找到正确的原因
[3393.96-3397.68] 你正确你这你的就是你早早年间手艺的时候
[3397.68-3398.76] 你怕别人看见你
[3398.76-3400.16] 所以你紧张
[3400.16-3401.76] 所以你把紧
[3401.76-3403.64] 你形成了巴不洛夫反射
[3403.64-3404.36] 懂吗
[3404.36-3405.20] 就是他妈狗
[3405.20-3407.48] 只要他们喂狗的时候
[3407.48-3409.44] 打一个电打一个电铃
[3409.44-3411.00] 然后狗就有饭吃
[3411.00-3412.88] 所以最后狗就记住了
[3412.88-3413.68] 然后一打电铃
[3413.68-3416.04] 狗的口水就留下来了
[3416.04-3418.08] 这就叫巴不洛夫条件反射
[3418.08-3418.76] 你呀
[3418.76-3419.44] 他你呀
[3419.44-3420.60] 那个他妈搏起
[3420.60-3423.48] 操逼的那根神经和害怕逃跑
[3423.48-3425.04] 那个神经连上了
[3425.04-3425.48] 为什么
[3425.48-3428.76] 因为你他娘的早早期手淫的时候
[3428.76-3430.60] 你估计是在公共厕所里守的
[3430.60-3432.96] 或者你没有那么好的私密空间啊
[3432.96-3433.88] 所以你不能啊
[3433.88-3435.68] 不能享受那个过程
[3435.68-3437.40] 所以你就是分分钟要被
[3437.40-3438.36] 被人被人捉住了
[3438.36-3441.88] 所以你那个逃跑的那根危险神经和你
[3441.88-3443.48] 那个性欲神经连上了
[3443.48-3446.12] 所以你现在必须把这里把这个神经通过
[3446.12-3447.72] 物理手段给他分开
[3447.72-3449.20] 你就治好了
[3449.20-3451.44] 你越想你是淫邪手淫
[3451.44-3453.52] 年轻你那根神经就连的越紧
[3453.52-3456.76] 我擦你想一次中华天然基督徒的那个啊
[3456.76-3457.40] 我好淫邪
[3457.40-3459.88] 我的我的性欲挥发完了啊
[3459.88-3460.84] 挥霍完了啊
[3460.84-3463.16] 我的精子已经已经射光了
[3463.16-3465.84] 你那根你那根神经最后就汗的比他们
[3465.84-3467.36] 你还粗
[3467.40-3471.08] 你那根神经你逃跑和扬尾的神经
[3471.08-3474.24] 早泄的神经和你那个性欲之间的那个神经
[3474.24-3475.40] 现在比你屌还粗
[3475.40-3477.16] 所以你就治不好了
[3477.16-3477.68] 因为吧
[3479.40-3480.80] 呃
[3480.80-3481.52] 下一位啊
[3481.52-3482.60] 亲爱的大老王
[3482.60-3482.84] 哎
[3482.84-3484.56] 今天咱们变成性爱专场了
[3484.56-3485.84] 咱们改一个话题啊
[3485.84-3486.84] 改一个话题啊
[3486.84-3488.76] 这个漂亮小超妇呃
[3488.76-3491.88] 被他亲外公猥亵的案例啊
[3491.88-3493.20] 我跟大家呃
[3493.20-3494.88] 他要跟大家分享一下
[3494.88-3497.16] 要要广大女生
[3497.40-3498.80] 要学会保护保护自己
